customer_id,city,age,gender,plan_type,contract_type,tenure_months,monthly_charges
CUST100000,Gurgaon,26,Male,Postpaid,2-Year,28,1388.77
CUST100001,Pune,53,Male,Postpaid,Month-to-Month,4,876.38
CUST100002,Bangalore,23,Female,Prepaid,No Contract,4,289.27
CUST100003,Mumbai,41,Male,Prepaid,No Contract,5,365.02
CUST100004,Delhi,43,Female,Postpaid,Month-to-Month,16,1160.59
CUST100005,Delhi,51,Male,Postpaid,1-Year,21,1117.63
CUST100006,Delhi,18,Female,Prepaid,No Contract,11,429.91
CUST100007,Noida,40,Female,Postpaid,1-Year,32,1278.02
CUST100008,Bangalore,34,Female,Postpaid,2-Year,61,894.86
CUST100009,Bangalore,53,Female,Postpaid,Month-to-Month,2,673.3
CUST100010,Delhi,54,Female,Prepaid,No Contract,28,332.12
CUST100011,Pune,62,Female,Postpaid,Month-to-Month,2,1478.6
CUST100012,Noida,37,Female,Prepaid,No Contract,34,449.23
CUST100013,Gurgaon,43,Male,Broadband,2-Year,70,2306.8
CUST100014,Delhi,28,Male,Prepaid,No Contract,9,395.27
CUST100015,Delhi,37,Male,Postpaid,1-Year,37,1070.38
CUST100016,Gurgaon,18,Female,Postpaid,1-Year,37,613.13
CUST100017,Mumbai,61,Female,Prepaid,No Contract,33,219.97
CUST100018,Mumbai,30,Female,Postpaid,1-Year,8,603.7
CUST100019,Gurgaon,53,Male,Prepaid,No Contract,17,384.88
CUST100020,Bangalore,61,Male,Prepaid,No Contract,25,395.71
CUST100021,Delhi,55,Female,Prepaid,No Contract,23,348.6
CUST100022,Gurgaon,30,Male,Prepaid,No Contract,22,486.21
CUST100023,Gurgaon,31,Male,Broadband,Month-to-Month,9,2029.95
CUST100024,Mumbai,29,Male,Prepaid,No Contract,26,488.2
CUST100025,Noida,51,Female,Broadband,2-Year,44,806.5
CUST100026,Delhi,44,Female,Prepaid,No Contract,22,403.31
CUST100027,Mumbai,29,Male,Postpaid,1-Year,29,822.92
CUST100028,Mumbai,55,Male,Prepaid,No Contract,6,482.55
CUST100029,Delhi,53,Female,Broadband,Month-to-Month,10,923.24
CUST100030,Bangalore,18,Female,Prepaid,No Contract,36,228.37
CUST100031,Delhi,43,Female,Postpaid,Month-to-Month,18,593.99
CUST100032,Delhi,57,Male,Prepaid,No Contract,11,250.15
CUST100033,Pune,57,Male,Broadband,Month-to-Month,5,930.38
CUST100034,Pune,38,Female,Postpaid,2-Year,52,1010.92
CUST100035,Noida,49,Male,Broadband,1-Year,21,992.93
CUST100036,Gurgaon,42,Male,Prepaid,No Contract,5,222.31
CUST100037,Delhi,29,Female,Postpaid,1-Year,27,530.95
CUST100038,Bangalore,42,Male,Postpaid,1-Year,7,1099.47
CUST100039,Mumbai,43,Male,Prepaid,No Contract,28,457.66
CUST100040,Delhi,53,Female,Postpaid,Month-to-Month,18,1201.94
CUST100041,Mumbai,33,Female,Postpaid,2-Year,61,1105.89
CUST100042,Delhi,31,Female,Prepaid,No Contract,27,226.41
CUST100043,Pune,63,Female,Postpaid,2-Year,66,1034.72
CUST100044,Gurgaon,51,Male,Broadband,1-Year,35,1592.97
CUST100045,Bangalore,41,Female,Postpaid,1-Year,16,1460.86
CUST100046,Gurgaon,25,Male,Prepaid,No Contract,29,445.35
CUST100047,Mumbai,44,Male,Prepaid,No Contract,1,238.7
CUST100048,Mumbai,56,Male,Broadband,Month-to-Month,20,1714.41
CUST100049,Delhi,30,Male,Prepaid,No Contract,8,245.65
CUST100050,Pune,46,Male,Prepaid,No Contract,6,260.11
CUST100051,Noida,48,Male,Broadband,1-Year,33,2329.29
CUST100052,Pune,60,Female,Broadband,1-Year,48,2465.38
CUST100053,Noida,36,Male,Prepaid,No Contract,32,282.29
CUST100054,Mumbai,27,Male,Prepaid,No Contract,1,252.39
CUST100055,Pune,60,Female,Prepaid,No Contract,22,218.57
CUST100056,Delhi,65,Male,Prepaid,No Contract,25,251.58
CUST100057,Delhi,57,Male,Prepaid,No Contract,4,382.82
CUST100058,Delhi,51,Male,Broadband,Month-to-Month,23,2228.73
CUST100059,Gurgaon,63,Male,Postpaid,1-Year,47,556.67
CUST100060,Gurgaon,60,Male,Broadband,1-Year,46,1972.15
CUST100061,Gurgaon,18,Female,Broadband,Month-to-Month,3,1370.53
CUST100062,Noida,36,Female,Postpaid,1-Year,7,1138.39
CUST100063,Gurgaon,18,Female,Broadband,2-Year,31,1079.1
CUST100064,Gurgaon,41,Male,Prepaid,No Contract,4,210.22
CUST100065,Mumbai,42,Male,Broadband,Month-to-Month,5,1235.17
CUST100066,Delhi,21,Male,Prepaid,No Contract,16,349.74
CUST100067,Noida,41,Male,Postpaid,Month-to-Month,14,1112.63
CUST100068,Delhi,56,Male,Prepaid,No Contract,19,493.95
CUST100069,Pune,37,Male,Prepaid,No Contract,3,386.07
CUST100070,Noida,50,Female,Broadband,1-Year,26,1053.85
CUST100071,Delhi,45,Male,Broadband,Month-to-Month,14,955.17
CUST100072,Delhi,60,Female,Broadband,Month-to-Month,11,1707.66
CUST100073,Noida,62,Female,Prepaid,No Contract,7,401.86
