customer_id,is_churned,churn_date,churn_reason
CUST100000,0,,
CUST100001,0,,
CUST100002,1,2025-10-03,Better Offer Elsewhere
CUST100003,0,,
CUST100004,0,,
CUST100005,1,2025-12-11,Better Offer Elsewhere
CUST100006,0,,
CUST100007,0,,
CUST100008,0,,
CUST100009,1,2025-11-15,Other
CUST100010,0,,
CUST100011,0,,
CUST100012,0,,
CUST100013,0,,
CUST100014,0,,
CUST100015,0,,
CUST100016,0,,
CUST100017,1,2025-11-22,High Charges
CUST100018,0,,
CUST100019,0,,
CUST100020,1,2025-10-10,Poor Network
CUST100021,1,2025-12-02,High Charges
CUST100022,0,,
CUST100023,0,,
CUST100024,0,,
CUST100025,0,,
CUST100026,0,,
CUST100027,0,,
CUST100028,1,2025-08-14,Poor Network
CUST100029,0,,
CUST100030,0,,
CUST100031,0,,
CUST100032,0,,
CUST100033,1,2025-12-12,High Charges
CUST100034,0,,
CUST100035,0,,
CUST100036,0,,
CUST100037,0,,
CUST100038,0,,
CUST100039,0,,
CUST100040,1,2025-08-18,Better Offer Elsewhere
CUST100041,0,,
CUST100042,1,2025-09-01,High Charges
CUST100043,0,,
CUST100044,0,,
CUST100045,1,2025-09-09,Poor Customer Service
CUST100046,0,,
CUST100047,0,,
CUST100048,0,,
CUST100049,0,,
CUST100050,0,,
CUST100051,0,,
CUST100052,0,,
CUST100053,0,,
CUST100054,0,,
CUST100055,1,2025-10-05,Better Offer Elsewhere
CUST100056,0,,
CUST100057,1,2025-12-03,Other
CUST100058,0,,
CUST100059,0,,
CUST100060,0,,
CUST100061,1,2025-10-03,High Charges
CUST100062,0,,
CUST100063,0,,
CUST100064,1,2025-10-17,High Charges
CUST100065,1,2025-09-27,Other
CUST100066,0,,
CUST100067,0,,
CUST100068,0,,
CUST100069,0,,
CUST100070,0,,
CUST100071,0,,
CUST100072,0,,
CUST100073,1,2025-08-23,High Charges
CUST100074,0,,
CUST100075,0,,
CUST100076,0,,
CUST100077,0,,
CUST100078,1,2025-10-29,Poor Network
CUST100079,0,,
CUST100080,0,,
CUST100081,0,,
CUST100082,1,2025-10-13,Better Offer Elsewhere
CUST100083,0,,
CUST100084,0,,
CUST100085,1,2025-10-10,High Charges
CUST100086,0,,
CUST100087,0,,
CUST100088,1,2025-12-07,High Charges
CUST100089,0,,
CUST100090,1,2026-01-17,Poor Customer Service
CUST100091,0,,
CUST100092,0,,
CUST100093,0,,
CUST100094,1,2025-10-13,Better Offer Elsewhere
CUST100095,0,,
CUST100096,1,2025-08-10,High Charges
CUST100097,0,,
CUST100098,0,,
CUST100099,1,2026-01-10,Other
CUST100100,0,,
CUST100101,1,2026-01-25,High Charges
CUST100102,1,2025-12-01,High Charges
CUST100103,0,,
CUST100104,0,,
CUST100105,1,2025-11-02,Poor Network
CUST100106,0,,
CUST100107,0,,
CUST100108,0,,
CUST100109,0,,
CUST100110,0,,
CUST100111,0,,
CUST100112,1,2025-11-17,Better Offer Elsewhere
CUST100113,0,,
CUST100114,0,,
CUST100115,0,,
CUST100116,0,,
CUST100117,0,,
CUST100118,0,,
CUST100119,0,,
CUST100120,0,,
CUST100121,0,,
CUST100122,0,,
CUST100123,0,,
CUST100124,0,,
CUST100125,0,,
CUST100126,0,,
CUST100127,0,,
CUST100128,0,,
CUST100129,1,2025-12-07,Better Offer Elsewhere
