complaint_id,customer_id,complaint_date,complaint_type,resolution_status,resolution_days
COMP100001,CUST100000,2026-01-23,Network Issue,Resolved,5
COMP100002,CUST100002,2025-11-22,Billing Issue,Pending,8
COMP100003,CUST100002,2025-09-02,Network Issue,Pending,5
COMP100004,CUST100002,2026-01-28,Billing Issue,Pending,3
COMP100005,CUST100003,2025-10-01,Billing Issue,Resolved,5
COMP100006,CUST100003,2025-09-21,Network Issue,Resolved,1
COMP100007,CUST100003,2025-11-11,Billing Issue,Pending,1
COMP100008,CUST100004,2025-11-16,Other,Resolved,4
COMP100009,CUST100005,2025-09-24,Billing Issue,Resolved,5
COMP100010,CUST100005,2026-01-02,Network Issue,Pending,3
COMP100011,CUST100005,2026-01-05,Network Issue,Resolved,13
COMP100012,CUST100006,2026-01-11,Billing Issue,Resolved,3
COMP100013,CUST100008,2025-08-26,Network Issue,Resolved,3
COMP100014,CUST100008,2025-09-10,Network Issue,Resolved,1
COMP100015,CUST100009,2025-09-20,Network Issue,Pending,6
COMP100016,CUST100009,2025-12-25,Billing Issue,Resolved,4
COMP100017,CUST100010,2025-12-09,Network Issue,Resolved,3
COMP100018,CUST100011,2026-01-26,Billing Issue,Resolved,1
COMP100019,CUST100016,2025-10-09,Service Quality,Resolved,6
COMP100020,CUST100017,2025-09-21,Other,Resolved,12
COMP100021,CUST100017,2026-01-23,Billing Issue,Resolved,11
COMP100022,CUST100017,2025-08-09,Service Quality,Resolved,8
COMP100023,CUST100019,2025-11-07,Service Quality,Resolved,6
COMP100024,CUST100019,2025-08-19,Service Quality,Resolved,5
COMP100025,CUST100020,2025-08-16,Network Issue,Resolved,10
COMP100026,CUST100020,2026-01-28,Other,Resolved,11
COMP100027,CUST100021,2025-09-04,Data/Speed Issue,Resolved,5
COMP100028,CUST100021,2026-01-09,Data/Speed Issue,Resolved,10
COMP100029,CUST100021,2025-08-28,Network Issue,Resolved,5
COMP100030,CUST100022,2025-12-18,Billing Issue,Resolved,4
COMP100031,CUST100024,2025-08-22,Data/Speed Issue,Resolved,5
COMP100032,CUST100024,2025-11-07,Service Quality,Resolved,6
COMP100033,CUST100028,2025-12-28,Other,Resolved,4
COMP100034,CUST100028,2025-09-23,Data/Speed Issue,Resolved,10
COMP100035,CUST100028,2025-12-01,Other,Pending,6
COMP100036,CUST100029,2025-09-02,Data/Speed Issue,Resolved,4
COMP100037,CUST100030,2025-10-05,Service Quality,Resolved,5
COMP100038,CUST100040,2025-10-01,Data/Speed Issue,Resolved,12
COMP100039,CUST100040,2025-08-28,Network Issue,Resolved,3
COMP100040,CUST100040,2026-01-23,Billing Issue,Resolved,13
COMP100041,CUST100041,2025-11-04,Other,Resolved,2
COMP100042,CUST100042,2025-12-17,Data/Speed Issue,Pending,11
COMP100043,CUST100042,2025-12-02,Service Quality,Resolved,9
COMP100044,CUST100042,2025-09-06,Network Issue,Resolved,11
COMP100045,CUST100042,2025-10-21,Billing Issue,Resolved,11
COMP100046,CUST100043,2025-11-19,Network Issue,Resolved,1
COMP100047,CUST100043,2025-09-04,Other,Pending,6
COMP100048,CUST100043,2025-09-18,Service Quality,Resolved,2
